station_no,name_tw,parking_spaces,available_spaces,empty_spaces,forbidden_spaces,status,type,updated_at,time
508101059,臺大共同教室北側,20,0,20,0,1,2,2020-03-13 13:49:23,2020-03-13 11:13:03
508101060,臺大共同教室東南側,12,6,6,0,1,2,2020-03-13 13:49:23,2020-03-13 08:03:03
508101061,臺大鹿鳴堂東側,27,4,23,0,1,2,2020-03-13 13:49:23,2020-03-12 14:09:03
508101062,臺大公館停車場西北側,12,2,10,0,1,2,2020-03-13 13:49:23,2020-03-12 17:37:03
508101063,臺大第二行政大樓南側,10,0,10,0,1,2,2020-03-13 13:49:23,2020-03-12 21:27:03
508101064,臺大明達館機車停車場,10,2,8,0,1,2,2020-03-13 13:49:23,2020-03-13 13:09:03
508101065,臺大二號館,10,1,9,0,1,2,2020-03-13 13:49:23,2020-03-13 12:37:03
508101066,臺大凝態館南側,20,5,15,0,1,2,2020-03-13 13:49:23,2020-03-13 13:11:03
508101067,臺大社科院西側,26,13,13,0,1,2,2020-03-13 13:49:23,2020-03-13 13:15:03
508101068,臺大社會系館南側,10,1,9,0,1,2,2020-03-13 13:49:23,2020-03-12 19:11:03
508101069,臺大思亮館東南側,10,8,2,0,1,2,2020-03-13 13:49:23,2020-03-11 16:21:03
508101070,臺大椰林小舖,25,2,23,0,1,2,2020-03-13 13:49:23,2020-03-13 12:17:03
508101071,臺大計資中心南側,19,5,14,0,1,2,2020-03-13 13:49:23,2020-03-13 10:29:03
508101072,臺大原分所北側,12,1,11,0,1,2,2020-03-13 13:49:23,2020-03-13 11:21:03
508101073,臺大校史館南側,10,0,10,0,1,2,2020-03-13 13:49:23,2020-03-09 08:03:03
508101074,臺大生命科學館西北側,10,4,6,0,1,2,2020-03-13 13:49:23,2020-03-12 12:51:03
508101075,臺大第一活動中心西南側,40,16,24,0,1,2,2020-03-13 13:49:23,2020-03-13 13:39:03
508101076,臺大博理館西側,10,4,6,0,1,2,2020-03-13 13:49:23,2020-03-13 12:15:03
508101077,臺大博雅館西側,56,5,51,0,1,2,2020-03-13 13:49:23,2020-03-13 13:13:03
508101078,臺大森林館北側,10,2,8,0,1,2,2020-03-13 13:49:23,2020-03-12 20:53:03
508101079,臺大一號館,19,3,16,0,1,2,2020-03-13 13:49:23,2020-03-12 10:51:03
508101081,臺大教研館北側,11,1,10,0,1,2,2020-03-13 13:49:23,2020-03-13 11:49:03
508101082,臺大四號館東北側,10,0,10,0,1,2,2020-03-13 13:49:23,2020-03-13 10:01:03
508101083,臺大新生教室南側,18,17,1,0,1,2,2020-03-13 13:49:23,2020-03-13 13:19:03
508101084,臺大鄭江樓北側,10,3,7,0,1,2,2020-03-13 13:49:23,2020-03-13 09:41:03
508101085,臺大電機二館東南側,14,0,14,0,1,2,2020-03-13 13:49:23,2020-03-13 12:29:03
508101086,臺大圖資系館北側,10,1,9,0,1,2,2020-03-13 13:49:23,2020-03-12 16:31:03
508101087,臺大總圖書館西南側,30,9,21,0,1,2,2020-03-13 13:49:23,2020-03-13 11:37:03
508101088,臺大黑森林西側,20,7,13,0,1,2,2020-03-13 13:49:23,2020-03-13 12:23:03
508101089,臺大獸醫館南側,10,4,6,0,1,2,2020-03-13 13:49:23,2020-03-11 10:21:03
508101090,臺大新體育館東南側,20,0,20,0,1,2,2020-03-13 13:49:23,2020-03-13 11:27:03
508101080,臺大小小福西南側,10,2,8,0,1,2,2020-03-13 13:49:23,2020-03-12 11:51:03
500101022,捷運公館站(2號出口),61,18,43,0,1,2,2020-03-13 13:49:24,2020-03-13 13:47:03
